language,location,latitude,longitude,Degree of endangerment
Cheyenne (Oklahoma),United States of America,39.4432564,-98.9573364,Severely endangered
Chichimec,Mexico,23.9090939,-102.6334,Vulnerable
Chickasaw,United States of America,39.4432564,-98.9573364,Severely endangered
Chihuahua Lower Pima,Mexico,23.9090939,-102.6334,Definitely endangered
Chilchotla Mazatec,Mexico,23.9090939,-102.6334,Vulnerable
Chilcotin,Canada,62.8329086,-95.9133224,Definitely endangered
Chilisso,Pakistan,29.9232197,69.3577423,Severely endangered
Chiman̩,Bolivia (Plurinational State of),-16.7130547,-64.6666489,Vulnerable
Chimila,Colombia,3.997607,-73.2779694,Severely endangered
Chinook Jargon,United States of America,39.4432564,-98.9573364,Critically endangered
Chintang,Nepal,28.2591381,83.9441605,Severely endangered
Chintaw,China,36.5530853,103.9754333,Critically endangered
Chipaya,Bolivia (Plurinational State of),-16.7130547,-64.6666489,Definitely endangered
